"","date","open","high","low","adj.close","volume","macd","boll_ub","boll_lb","rsi_30","cci_30","dx_30","close_30_sma","close_60_sma","arima_res","residuals"
"1765","2017-01-13",242165,244690,242165,242500,400,594.110928936076,250417.986593751,241114.313406249,56.4590739967784,-61.2919247470232,0.171181432192805,245382,235739.2,242885.680808746,-385.68080874611
"1766","2017-01-17",242300,242300,239000,239166,600,158.219458572392,250660.384535936,239961.415464064,51.644814960707,-145.783370352059,18.6303010210965,245360.166666667,236102.8,242535.579045795,-3369.57904579482
"1767","2017-01-18",240698,241000,239250,240700,400,-62.7236530638183,250726.373325316,239324.926674684,53.5308236909787,-145.085219177525,18.6303010210965,245414.5,236498.216666667,239477.291424639,1222.70857536141
"1768","2017-01-19",241000,241500,238730,239120,200,-361.152317131346,250619.003727843,238511.296272157,51.3949475683196,-159.370263933866,21.3999771702042,245385.166666667,236890.216666667,240674.925645521,-1554.92564552126
"1769","2017-01-20",240280,240980,239460,240280,200,-498.312640065938,250084.403519317,238169.796480683,52.8245406295394,-143.178429209791,21.3999771702042,245333.3,237303.216666667,239218.08557309,1061.91442690953
"1770","2017-01-23",239500,240250,237984,238100,200,-773.998788917088,249740.508528079,237460.591471921,49.9673507648805,-162.08324297609,29.2148002335966,245057.3,237684.05,240203.387066334,-2103.38706633405
"1771","2017-01-24",238900,241560,238310,240940,200,-754.619004809938,248886.819066937,237508.280933063,53.3666185828166,-113.295353264246,18.0767422635838,244884.633333333,238102.383333333,238273.235510246,2666.76448975428
"1772","2017-01-25",242840,246900,242161,246340,300,-300.066535725287,248551.667133788,237677.432866212,58.8639637001928,4.59236380545382,14.1637468977282,244856.3,238594.383333333,240719.494738684,5620.50526131637
"1773","2017-01-26",247500,247640,246210,247640,200,163.18758148604,248625.596135323,237637.503864677,60.0371983258247,55.7830619707008,17.5006378129746,244814.666666667,239118.383333333,245825.787021985,1814.21297801525
"1774","2017-01-27",247420,247500,245360,247000,100,473.222145324136,248897.318949173,237532.781050827,59.1776310298729,46.049268028123,12.1474607963486,244724.3,239640.05,247438.91448667,-438.914486670139
"1775","2017-01-30",246260,247340,244880,246500,200,670.847833284759,249160.581932052,237469.518067948,58.5007163425177,39.0274756691051,9.1457811413024,244703.633333333,240158.883333333,246902.520098363,-402.520098362787
"1776","2017-01-31",246800,247738,244640,245980,200,776.55630296006,249365.538629882,237450.461370118,57.7895320832842,39.2062407965704,11.2512208756212,244627.266666667,240676.883333333,246471.760440927,-491.760440927435
"1777","2017-02-01",247700,247775,245000,245430,300,806.652040706133,249311.162228153,237462.837771847,57.0309300396557,39.4088952377155,11.4551331895661,244594.766666667,241184.033333333,245992.875729967,-562.875729966792
"1778","2017-02-02",244718,244790,243410,244330,400,733.289418818196,249022.87618586,237524.12381414,55.5229668264715,-8.95815693047177,0.814595515221812,244461.433333333,241680.45,245480.612946065,-1150.61294606459
"1779","2017-02-03",245830,246200,244040,245646,300,772.435063563375,249119.156527586,237507.243472414,56.932314952744,26.798753898925,9.04594860683038,244348.266666667,242102.833333333,244427.022981052,1218.97701894824
"1780","2017-02-06",245050,245750,244622,244825,200,728.809171969828,249053.230521466,237516.269478534,55.7913820188361,25.0944770008612,9.04594860683039,244221.4,242491.833333333,245581.195423133,-756.195423132594
