Date,Open,High,Low,Close,Adj Close,Volume
2015-07-13,12.67,12.78,12.32,12.75,12.75,189200
2015-07-16,12.84,12.86,12.69,12.7,12.7,80600
2015-07-17,12.67,12.8,12.56,12.61,12.61,114100
2015-07-21,12.63,12.75,12.49,12.52,12.52,71100
2015-07-23,12.52,12.52,12.21,12.37,12.37,215800
2015-07-24,12.4,12.4,12.09,12.2,12.2,65600
2015-07-27,12.27,12.27,11.82,11.85,11.85,105600
2015-07-31,11.94,12.29,11.51,12.0,12.0,122400
2015-08-05,11.85,12.0,11.85,11.9,11.9,15400
2015-08-06,12.0,12.0,11.65,11.7,11.7,23000
2015-08-07,11.7,11.7,11.51,11.55,11.55,44800
2015-08-10,11.47,11.61,11.2,11.33,11.33,159200
2015-08-11,11.2,11.29,11.02,11.06,11.06,166000
2015-08-12,11.09,11.09,10.91,10.96,10.96,94200
2015-08-13,11.05,11.065,10.84,10.84,10.84,41500
2015-08-17,11.0,11.15,10.95,10.99,10.99,74200
2015-08-18,11.04,11.04,10.0,10.1,10.1,334600
2015-08-19,10.1,10.25,9.85,9.86,9.86,228800
2015-08-20,9.8,9.9,9.5,9.65,9.65,308700
2015-08-21,9.58,10.24,9.58,9.74,9.74,127300
2015-08-24,9.63,9.87,9.091,9.87,9.87,227200
2015-08-25,10.05,10.26,9.74,9.77,9.77,206000
2015-08-26,9.82,10.36,9.8,10.05,10.05,72600
2015-08-27,10.14,10.24,10.08,10.24,10.24,65700
2015-08-28,10.25,10.36,9.88,9.99,9.99,185500
2015-08-31,9.83,10.11,9.74,9.76,9.76,109800
2015-09-02,9.66,9.772,9.54,9.65,9.65,204600
2015-09-03,9.66,9.92,9.66,9.78,9.78,83600
2015-09-04,9.69,10.04,9.63,9.91,9.91,184000
2015-09-08,9.94,10.41,9.89,10.3,10.3,260300
2015-09-09,10.4,10.47,9.54,9.85,9.85,254500
2015-09-10,9.81,10.27,9.81,9.93,9.93,473100
2015-09-11,9.95,10.15,9.95,10.0,10.0,103400
2015-09-14,9.94,10.0,9.75,9.89,9.89,101000
2015-09-15,9.9,10.35,9.9,10.12,10.12,196600
2015-09-16,10.16,10.19,9.96,9.99,9.99,183800
2015-09-17,9.95,10.26,9.94,10.13,10.13,158800
2015-09-18,10.04,10.25,9.83,10.0,10.0,903600
2015-09-21,9.98,10.35,9.98,10.22,10.22,136600
2015-09-23,10.26,10.35,9.97,10.1,10.1,101000
2015-09-24,10.05,10.05,9.61,9.65,9.65,193800
2015-09-25,9.67,9.86,9.14,9.33,9.33,563500
2015-09-28,9.35,9.45,7.95,7.96,7.96,446700
2015-09-29,8.0,8.0,7.13,7.64,7.64,559400
2015-09-30,7.68,8.1,7.37,7.94,7.94,386100
2015-10-01,8.0,8.35,7.8,8.23,8.23,149600
2015-10-02,8.14,8.67,8.14,8.37,8.37,193400
2015-10-05,8.42,8.93,8.42,8.77,8.77,119200
2015-10-06,8.72,8.76,8.31,8.5,8.5,116000
2015-10-07,8.54,8.54,8.13,8.39,8.39,183000
2015-10-13,8.25,8.45,8.11,8.15,8.15,35800
2015-10-16,8.05,8.37,7.82,7.91,7.91,160400
2015-10-19,7.9,8.08,7.778,8.03,8.03,66200
2015-10-22,8.01,8.15,7.69,7.79,7.79,82000
2015-10-23,7.85,7.98,7.85,7.95,7.95,26600
2015-10-26,7.95,8.19,7.69,7.79,7.79,99700
2015-10-27,7.78,7.78,7.23,7.4,7.4,371500
2015-10-28,7.42,7.42,6.91,6.97,6.97,270500
2015-10-29,7.01,7.23,6.67,6.82,6.82,220600
2015-10-30,6.84,7.13,6.82,7.07,7.07,327000
2015-11-03,7.02,7.22,7.01,7.15,7.15,157000
2015-11-04,7.13,7.32,7.1,7.27,7.27,186600
2015-11-05,7.3,7.32,7.16,7.22,7.22,101500
2015-11-06,7.23,7.23,7.02,7.18,7.18,97300
2015-11-09,7.18,7.38,7.06,7.32,7.32,95800
2015-11-10,7.29,7.46,7.25,7.28,7.28,182100
2015-11-11,7.28,7.46,7.23,7.4,7.4,109800
2015-11-12,7.37,7.39,7.23,7.24,7.24,111200
2015-11-13,7.26,7.26,6.93,7.01,7.01,94300
2015-11-16,7.0,7.18,6.94,7.16,7.16,114100
2015-11-17,7.15,7.15,4.61,5.15,5.15,2071700
2015-11-18,5.17,6.16,5.17,5.64,5.64,473900
2015-11-19,5.81,5.95,5.32,5.39,5.39,252100
2015-11-20,5.37,5.88,5.325,5.72,5.72,316200
2015-11-25,5.77,5.94,5.62,5.86,5.86,559200
2015-11-27,5.93,6.16,5.8,6.06,6.06,102900
2015-11-30,6.12,6.5,6.1,6.45,6.45,363500
2015-12-01,6.45,6.73,6.18,6.39,6.39,392600
2015-12-02,6.5,6.66,6.29,6.35,6.35,263300
2015-12-03,6.34,6.38,6.03,6.08,6.08,172000
2015-12-04,6.06,6.2,5.94,6.02,6.02,98100
2015-12-07,5.98,6.12,5.65,5.87,5.87,264000
2015-12-08,5.86,6.0,5.74,5.92,5.92,141000
2015-12-09,5.9,6.09,5.866,6.0,6.0,465100
2015-12-10,5.97,6.18,5.95,6.07,6.07,100700
2015-12-11,6.02,6.03,5.77,5.91,5.91,204200
2015-12-14,5.9,6.005,5.49,5.53,5.53,90400
2015-12-17,5.5,5.78,5.29,5.55,5.55,219600
2015-12-18,5.45,5.8,5.36,5.4,5.4,289600
2015-12-21,5.42,5.67,5.36,5.5,5.5,106200
2015-12-22,5.49,5.94,5.47,5.89,5.89,99000
2015-12-23,5.9,6.23,5.84,6.15,6.15,81000
2015-12-24,6.2,6.47,6.11,6.43,6.43,55700
2015-12-28,6.4,6.4,5.97,6.36,6.36,104100
2015-12-30,6.39,6.52,5.79,6.34,6.34,125000
2016-01-04,6.21,6.35,6.05,6.28,6.28,52000
2016-01-06,6.2,6.25,5.95,6.01,6.01,81300
2016-01-07,6.06,6.06,5.88,5.92,5.92,93200
2016-01-08,5.96,6.16,5.82,6.06,6.06,32500
2016-01-11,6.05,6.13,5.8,5.82,5.82,165200
2016-01-12,5.855,5.96,5.68,5.76,5.76,99900
2016-01-13,5.79,6.06,5.79,5.99,5.99,172700
2016-01-19,6.04,6.045,5.6,5.94,5.94,88900
2016-01-20,5.9,5.92,5.56,5.73,5.73,320800
2016-01-22,5.81,5.895,5.56,5.75,5.75,211600
2016-01-25,5.75,5.855,5.52,5.65,5.65,65500
2016-01-26,5.66,5.82,5.6,5.72,5.72,107200
